Municipality_code,Municipality_name,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04
GM0014,Groningen,-0.8277789791249247,-0.819065038448792,-0.7689598795610285,-0.7319256316874643,-0.7177654780887486,-0.7373718446100472,-0.7613351814694124,-0.7765845776526448,-0.802726399681043,-0.8114403403571758,-0.819065038448792,-0.8223327662023417,-0.8256004939558915,-0.8223327662023417,-0.8223327662023417,-0.8212435236178252,-0.8245112513713749,-0.8234220087868583,-0.8234220087868583,-0.8223327662023417,-0.8179757958642754,-0.8059941274345929,-0.7711383647300617,-0.7384610871945638,-0.7286579039339144,-0.74608578528618,-0.7515319982087629,-0.6447862249261366,-0.3909927027337697,-0.03154264984329298,0.42484999306916077,0.7657829220228555,1.0773063011946018,0.9139199135171124,0.7004283669518597,0.24294648145488934,0.06322145500965097,-0.11432508626655423,-0.1829473690910998,-0.1502700915556019,0.05341827174900161,0.5490236477040528,0.8267805067557847,0.8670824823828988,0.6318060841273141,0.43792090408335993,0.28106997191297006,0.051239786579968354,-0.09798644749880528,-0.2123569188730479,-0.02391795175167678,0.26908830348328766,0.41831453756206116,0.4618842409427252,0.40633286913237876,0.4858475778020902,0.39108347294914636,0.27126678865232073,0.23314329819423996,0.36494165092074804,0.46841969644982473,0.4934722758937063,0.3627631657517148,0.22225087234907387,0.008759325783821105,-0.16660873032335083,-0.3942604304873195,-0.5511113626577092,-0.6818204727997008,-0.47704286691058084,2.231903440782194,4.541097719957378,4.91470792644657,2.470447566791328,0.34642452698396586,-0.06313068479427424,-0.12194978435817043,-0.06857689771685718,-0.044613560857492136,-0.06421992737879087,-0.1807688839220666,-0.3267273902472905,-0.4345624061144336,-0.48303370112542204
GM0034,Almere,-1.086447152801416,-1.0845919790808598,-1.0648034593949274,-1.014095377699726,-0.9411252113578504,-0.9040217369467273,-0.8706286099767165,-0.8693918274963457,-0.8780493048589412,-0.9102056493485812,-0.9596769485634119,-0.9980172054549059,-1.040067809787512,-1.0511988521108488,-1.0573827645127027,-1.0610931119538152,-1.072224154277152,-1.0697505893164105,-1.0759345017182644,-1.0796448491593766,-1.0746977192378935,-1.035120679866029,-0.9720447733671197,-0.9015481719859857,-0.8656814800552334,-0.8619711326141211,-0.8372354830067057,-0.7556078393022349,-0.6306928087847872,-0.49835708338511475,-0.2942879741239377,0.016144428449125607,0.492305683391872,1.1440900505472675,1.5868581785200033,1.7266145988019002,1.2863200357899063,0.9944393704224047,0.691427662731566,0.8769450347871812,1.2850832533095353,2.2522471529594776,2.973291339015637,3.056155765200478,2.411792092927307,1.5336765318640602,0.9078645967964506,0.5232252454011411,0.3649170879136827,0.1670318910543594,0.024801905811720926,-0.011064786119031472,0.07179964006581026,0.18805719322066256,0.4292297768929627,0.7087426174567566,0.7866599137201151,0.7545035692304752,0.691427662731566,0.792843826121969,0.6456667109578473,0.5739333270963428,0.3500756981492335,0.16332154361324708,-0.2163706778605792,-0.49464673594400244,-0.6492445459903488,-0.7518974918611225,-0.8347619180459642,-0.8990746070252442,-0.5589594249232825,0.22516066763178566,0.8064484334060475,0.8917864245516305,0.5145677680385459,0.3228664835810764,0.45767577394149045,0.41315160464814277,0.34141822078663797,0.09406172471248411,-0.0592993028534915,-0.26584197707541,-0.4501225666506547,-0.5317502103551255
GM0037,Stadskanaal,-0.9022651321991154,-0.9022651321991154,-0.9022651321991154,-0.8932942768869623,-0.8932942768869623,-0.8663817109505029,-0.875352566262656,-0.8663817109505029,-0.8932942768869623,-0.8843234215748093,-0.8843234215748093,-0.8843234215748093,-0.8843234215748093,-0.8932942768869623,-0.8932942768869623,-0.8932942768869623,-0.8932942768869623,-0.8932942768869623,-0.9022651321991154,-0.9022651321991154,-0.9022651321991154,-0.9022651321991154,-0.8932942768869623,-0.8843234215748093,-0.8663817109505029,-0.8663817109505029,-0.875352566262656,-0.8843234215748093,-0.7677023025168185,-0.5793143409616028,-0.4268098006549997,-0.2563635497240903,0.030703820264809712,0.5151300071210786,1.1700024449082569,1.4480989595850038,1.475011525521463,1.241769287405482,0.9367602067922755,1.116177313035338,1.6364869211402193,2.802698111720126,3.1884448901427107,2.7399021245350546,1.8966417251926604,1.394273827712085,1.026468759913807,0.5868968496183037,0.24600434775648478,0.4523340199360068,0.5958677049304567,0.7752848111735194,0.6407219814912225,0.7304305346127536,0.7304305346127536,0.8380807983585914,0.9188184961679695,1.107206457723185,1.1430898789717976,1.2238275767811757,1.116177313035338,0.9367602067922755,0.4523340199360068,0.0037912543283503317,-0.1128298647296403,-0.2563635497240903,-0.4178389453428466,-0.7407897365803592,-0.8394691450140436,-0.875352566262656,-0.7138771706438998,-0.31915953690916216,-0.05003387754456833,-0.05003387754456833,-0.2653344050362434,-0.40886809003069347,-0.3998972347185403,-0.4896057878400715,-0.4357806559671529,-0.3819555240942341,-0.3819555240942341,-0.31915953690916216,-0.4268098006549997,-0.3236449645652387
GM0047,Veendam,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9201516350494157,-0.8848070405775839,-0.8730255090869733,-0.8848070405775839,-0.9083701035588051,-0.9201516350494157,-0.9319331665400263,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9437146980306369,-0.9083701035588051,-0.8376809146151414,-0.8023363201433096,-0.8258993831245308,-0.849462446105752,-0.8258993831245308,-0.7552101941808672,-0.7080840682184246,-0.5549241588404867,-0.29573046604705333,0.09306007314309685,0.24621998252103475,0.2933461084834773,-0.0011921787817879587,-0.21325974561277897,-0.34285659200949575,-0.2603858715752215,0.24621998252103475,0.7763888995985123,1.8956343912065203,2.6260893436243786,2.8852830364178117,2.673215469586821,2.637870875114989,2.4964924972276616,1.9191974541877417,1.000237997920114,0.7999519625797337,0.7056997106548486,0.8942042145046185,0.6114474587299638,0.5996659272393531,0.8117334940703441,1.235868627732326,1.3183393481666006,0.9648934034482821,0.6467920532017957,0.6467920532017957,0.6114474587299638,0.6585735846924063,0.5289767382956895,0.4111614233895835,0.2933461084834773,0.24621998252103475,0.10484160463370755,-0.23682280859400023,-0.5195795643686549,-0.6963025367278141,-0.4371088439343806,0.37581682891775164,0.8117334940703441,0.6821366476736275,-0.06009983623484106,-0.4017642494625488,-0.3075119975376639,-0.27216740306583204,-0.2486043400846108,-0.28394893455644266,-0.21325974561277897,-0.2603858715752215,-0.47245343840621246,-0.6786302394918982
GM0050,Zeewolde,-0.9343065158580892,-0.9280148894886744,-0.9028483840110155,-0.8650986257945271,-0.7895991093615502,-0.7518493511450617,-0.7266828456674027,-0.7140995929285733,-0.7392660984062321,-0.7644326038838911,-0.8650986257945271,-0.890265131272186,-0.890265131272186,-0.8776818785333566,-0.890265131272186,-0.940598142227504,-0.940598142227504,-0.9280148894886744,-0.915431636749845,-0.9280148894886744,-0.940598142227504,-0.9531813949663335,-0.940598142227504,-0.940598142227504,-0.940598142227504,-0.9280148894886744,-0.8525153730556975,-0.7518493511450617,-0.6008503182791078,-0.46243453815198354,-0.33660201076368873,-0.14785321968124648,0.17931135152832015,0.6071419446485227,0.8588069994251123,0.7078079665591585,0.3554768898719328,0.02831231866236634,0.04089557140119578,0.27997737343895596,0.5945586919096931,2.280714558912844,3.2873747780192026,3.9542871731771654,2.8217944266825117,1.8654672185314711,1.1230553069405316,0.6952247138203289,0.5064759227378867,0.22964436248363804,-0.04718719777061057,-0.24851924159188227,-0.03460394503178112,0.11639508783417268,0.3554768898719328,0.3932266480884213,0.5316424282155457,0.67005820834267,0.9217232631192597,1.1985548233735084,1.3369706035006326,1.3621371089782917,0.9343065158580892,0.745557724775647,0.2170611097448086,0.04089557140119578,-0.33660201076368873,-0.5379340545849605,-0.6763498347120849,-0.8021823621003796,-0.55051730732379,0.06606207687885479,0.8713902521639418,0.9720562740745776,0.4561429117825689,-0.009437439554122113,-0.12268671420358747,0.06606207687885479,-0.08493695598709902,-0.11010346146475804,-0.3617685162413477,-0.44985128541315406,-0.6511833292344258,-0.67005820834267
GM0059,Achtkarspelen,-0.9025653149303835,-0.9025653149303835,-0.9025653149303835,-0.8846038161257989,-0.866642317321214,-0.8576615679189217,-0.8576615679189217,-0.8486808185166294,-0.8576615679189217,-0.866642317321214,-0.8935845655280911,-0.8935845655280911,-0.9025653149303835,-0.9025653149303835,-0.9025653149303835,-0.9025653149303835,-0.8935845655280911,-0.8935845655280911,-0.8935845655280911,-0.8935845655280911,-0.8935845655280911,-0.8756230667235064,-0.866642317321214,-0.8486808185166294,-0.8576615679189217,-0.8756230667235064,-0.8935845655280911,-0.8756230667235064,-0.8486808185166294,-0.8037770715051674,-0.6421235822639048,-0.24697060856304032,0.03143262290802325,0.16614386394240885,0.04041337231031568,-0.18410536274699363,-0.27391285676991745,-0.3727011001951335,-0.21104761095387076,-0.1571631145401165,0.12124011693094705,0.6151813340570277,1.3605835344472945,1.6479675153206508,1.854524751573375,2.4562349615269645,3.174694913710354,3.174694913710354,2.4292927133200872,1.7916595057573286,1.5491792718954345,1.225872293412909,0.9025653149303835,0.696008078677659,0.41760484720659535,0.36372035079284115,0.41760484720659535,0.6690658304707819,0.8217385703097522,1.0462573053670614,1.2617952910220784,1.2348530428152014,0.9115460643326758,0.41760484720659535,0.04939412171260812,-0.3008551049767946,-0.5433353388386886,-0.7498925750914132,-0.866642317321214,-0.8037770715051674,-0.49843159182722674,0.04939412171260812,0.36372035079284115,0.30085510497679446,-0.16614386394240893,-0.2918743555745021,-0.022451873505731,0.28289360617220977,0.3906625989997183,0.2200283603561631,0.21104761095387084,0.10327861812636237,0.01347112410343856,-0.09429786872406992
GM0060,Ameland,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.6361741422280062,-0.5726323729686096,-0.0007564496340405173,0.6346612429599252,1.2065371662944941,0.952370089256908,0.952370089256908,0.3804941659223388,0.062785319625356,-0.5726323729686096,-0.5726323729686096,-0.5090906037092131,0.5711194737005285,2.7315396285200118,3.4304990903733734,3.112790244076391,1.1429953970350977,0.6982030122193217,-0.0642982188934371,-0.1913817574122302,-0.4455488344498165,-0.2549235266716268,-0.1913817574122302,-0.0642982188934371,-0.1913817574122302,-0.31846529593102335,-0.5090906037092131,-0.5726323729686096,-0.1913817574122302,0.25341062740354575,0.8888283199975113,1.1429953970350977,1.0159118585163045,0.507577704441132,-0.1278399881528337,-0.1913817574122302,0.44403593518173545,0.44403593518173545,0.18986885814414908,-0.5726323729686096,-0.6361741422280062,-0.6361741422280062,1.2065371662944941,3.1763320133357875,3.494040859632771,1.714871320369667,-0.0642982188934371,-0.31846529593102335,-0.38200706519042,-0.5090906037092131,-0.5726323729686096,-0.5726323729686096,-0.6361741422280062,-0.5090906037092131,-0.5090906037092131,-0.4455488344498165
GM0072,Harlingen,-0.9433705368876575,-0.9166353394859829,-0.8631649446826339,-0.8364297472809594,-0.8364297472809594,-0.7294889576742615,-0.6760185628709123,-0.6492833654692379,-0.809694549879285,-0.8899001420843085,-0.9166353394859829,-0.9166353394859829,-0.9166353394859829,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.9433705368876575,-0.8899001420843085,-0.8631649446826339,-0.8631649446826339,-0.8899001420843085,-0.8899001420843085,-0.8364297472809594,-0.809694549879285,-0.6492833654692379,-0.24825540444412036,0.25971334618769526,0.4735949254010914,0.5003301228027658,0.2062429513843463,0.07256696437597368,-0.24825540444412036,-0.11457941743574776,0.01909656957262472,0.2062429513843463,0.1260373591793228,0.31318374099104423,0.8211524916228599,0.9815636760329068,0.7944172942211855,0.6874765046144873,0.5270653202044402,0.33991893839271875,0.17950775398267174,0.6340061098111385,1.2489156500496519,1.7836195980831422,1.8905603876898405,1.8905603876898405,1.7301492032797934,1.462797229263048,2.0777067695015616,2.3717939409199813,3.2273202577735653,2.5856755201333774,1.7301492032797934,0.874622886426209,0.3666541357943932,0.25971334618769526,-0.1413146148374223,-0.35519619405081837,-0.43540178625584186,-0.6492833654692379,-0.7027537602725868,-0.43540178625584186,0.4468597279994167,1.2221804526479774,1.2489156500496519,0.4468597279994167,0.01909656957262472,-0.24825540444412036,-0.27499060184579477,-0.5690777732642144,-0.6225481680675634,-0.43540178625584186,-0.40866658885416735,-0.48887218105919084,-0.6225481680675634
GM0074,Heerenveen,-1.129040095763169,-1.129040095763169,-1.1041489620304086,-1.0543666945648875,-0.896722847590738,-0.6727026439958937,-0.5482469753320914,-0.6809996885734806,-0.8884258030131512,-1.0543666945648875,-1.0709607837200612,-1.0958519174528216,-1.1041489620304086,-1.1124460066079955,-1.1124460066079955,-1.1124460066079955,-1.1124460066079955,-1.1207430511855823,-1.1207430511855823,-1.1124460066079955,-1.1207430511855823,-1.1207430511855823,-1.129040095763169,-1.1124460066079955,-1.0792578282976482,-1.0543666945648875,-1.0128814716769536,-1.0128814716769536,-0.9382080704786722,-0.8801287584355644,-0.6395144656855464,-0.14169179103033705,0.3312397498921119,0.4971806414438483,0.3478338390472857,0.23167521496107005,0.09892250171968098,0.024249100521399555,-0.17487996934068423,-0.22466223680620517,-0.04212725609929516,0.29805157158176476,0.8373594691249082,1.360073277512878,1.6006875702628962,1.9574604870991295,1.7749255063922196,1.4679348570215067,0.7626860679266269,0.19018999207313597,0.20678408122830957,0.5718540426421298,0.8788446920128425,0.903735825745603,0.5386658643317825,0.7046067558835192,0.8871417365904292,1.3351821437801177,1.5011230353318543,1.8910841304784347,1.7334402835042853,1.4928259907542671,0.8373594691249082,0.3644279282024593,-0.07531543440964233,-0.3574149500475944,-0.5399499307545045,-0.6561085548407201,-0.8386435355476303,-0.8220494463924565,-0.14998883560792375,1.4679348570215067,2.0570250220301713,1.8247077738577404,0.5552599534869563,0.13211068003002815,-0.29103859342689986,-0.10020656814240281,0.5386658643317825,1.45963781244392,1.4430437232887463,0.8622506028576687,0.024249100521399555,-0.24540484825017228
GM0080,Leeuwarden,-1.180704978217099,-1.173687787579778,-1.1456190250304938,-1.100007285887907,-1.0508869514266597,-1.0508869514266597,-1.0894814999319253,-1.1280760484371912,-1.1561448109864754,-1.1561448109864754,-1.1666705969424571,-1.1666705969424571,-1.173687787579778,-1.180704978217099,-1.159653406305136,-1.152636215667815,-1.152636215667815,-1.173687787579778,-1.173687787579778,-1.1701791922611176,-1.1631620016237965,-1.1666705969424571,-1.1631620016237965,-1.1315846437558517,-1.0649213327013018,-1.0158009982400544,-1.0298353795146966,-1.0403611654706781,-0.805285279120423,-0.2965389579146472,0.3946543198614758,1.2191742197466988,1.4893360592835592,1.3244320793065145,0.6718333500356573,0.22975033988443133,-0.012342737103144793,-0.0018169511471632217,0.036777597358102584,0.015726025446139446,0.17712141010452348,0.8472631159686833,1.5630165609754303,1.9945737851706746,1.6542400392606034,1.2682945542079462,0.878840473836628,0.629730206211731,0.7104278985409229,0.8612974972433255,1.2823289354825884,1.3279406746251752,1.373552413767762,1.3946039856797252,1.3174148886691937,1.3700438184491017,1.2437343869773227,1.2612773635706251,1.0858475976375992,1.005149905308407,1.0191842865830492,1.1560195040108094,1.1174249555055438,0.9630467614844807,0.41219729645477865,0.01923462076479992,-0.45793434257303123,-0.7140618008352495,-0.9210689246362203,-0.952646282504165,-0.5035460817156181,0.4051801058174574,0.917435022341894,0.7946341861887755,0.19817298201648662,-0.061463071564392166,-0.04041149965242903,0.08589793181934981,0.3876371292241549,0.5455239185638784,0.45780903559736524,0.10344090841265248,-0.2860131719586656,-0.48074021214432466
