name,name_clean,0,7,14,21,28,35,42,49,56,63,70,77,84,91,98,105,112,119,126,133,140,147,154,161,168,175,182,189,196,203,210,217,224,231,238,245,252,259,266,273,280,287,294,301,308,315,322,329,336,343,350,357,364,371,378,385,392,399,406,413,420,427,434,441,448,455,462,469,476,483,490,497,504,511,518,525,532,539,546
 Aa0en0Hunze ,Aa en Hunze,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,-0.4307245404989089,0.138591452849323,1.7999067646581641,3.634885242942106,4.493150187233959,3.9581841444523636,2.916668834117979,1.9911241539529236,1.24336164529748,0.7114875186961006,0.3822887845083774,0.11186398554238496,-0.09437255247935672,-0.23996502746533574,-0.3348393889249302,-0.3838028260943775,-0.40812518265123904,-0.42009744386345305,-0.42589808232120274,-0.42855776534263346,-0.4297554804628293,-0.43029026135798354,-0.4305275416746128,-0.43063263583735484,-0.4306801528019992,-0.4307028760971384,-0.4307139280416602,-0.4307193314093515,-0.43072197902680454,-0.43072325709246484,-0.4307238633304389,-0.43072414694976,-0.43072430065879536,-0.4307243925636797,-0.388131357093473,-0.29341945726532914,-0.11787205491929116,0.13355091454268833,0.3184520031233324,0.49347281273284294,0.5172539000650228,0.46945547169437707,0.3614827653960046,0.22337265131014317,0.0868412648602103,-0.10799150814126122,-0.26403778773955067,-0.3476717589965227,-0.389696702085915,-0.41050964254843,-0.42076392268913243,-0.42581512354877105,-0.42830489382227477,-0.4295332698651007,-0.43013274492543785,-0.4304239751171999,-0.43056701843365003,-0.4306424750150942,-0.4306835073473913,-0.4307041760282271,-0.4307144302047744,-0.43071951761032423,-0.430722042469292,-0.43072329640416646,-0.43072391940361426,-0.4307242299063387,-0.43072438484867726,-0.43072446249309876,-0.4307245017425508,-0.430724515874408
 Aalburg ,Aalburg,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,-0.47010412223409004,0.3976017161316472,2.094519477649019,3.790352063786107,4.272281226198612,3.6073704041264536,2.5360480091219135,1.6161558729999728,0.8988904124994236,0.5136230180936603,0.2720693076512252,0.0460840351303838,-0.15553043532073374,-0.3282631315651201,-0.41073175872507073,-0.4458245794505793,-0.4602901227864722,-0.4661960535379574,-0.46858565491127885,-0.46952103705060627,-0.4698815793763574,-0.47001938058276577,-0.47007170274142746,-0.47009151975162394,-0.4700991022882247,-0.47010210202865266,-0.47010330587165844,-0.4701037916939998,-0.4701039882235714,-0.47010406734631954,-0.47010409903834705,-0.4701041117079253,-0.47010411724751044,-0.47010411984303785,-0.36687443286564525,-0.15162739867493583,0.21189523092511775,0.5459090367553701,0.9102092044263072,1.129711739929598,1.2095013624871183,0.9918549244283528,0.7484919158907768,0.3970444667892521,0.10672926882452859,-0.20301048337819447,-0.3562095129251233,-0.4226789946821384,-0.45048813333177584,-0.4620012288538246,-0.46675591954782364,-0.46871984011841183,-0.46953166161418874,-0.46986758727886724,-0.4700061053288799,-0.4700631100355064,-0.47008660096409255,-0.4700966066157227,-0.4701009824011316,-0.47010281796475684,-0.4701035806205707,-0.47010389659500534,-0.47010402821614694,-0.4701040830305195,-0.4701041058635247,-0.47010411539385893,-0.4701041193755898,-0.47010412104064075,-0.4701041217380308,-0.47010412195978796
 Aalsmeer ,Aalsmeer,-0.5413324190986991,-0.5413324190986991,-0.5413324190986991,-0.5413324190986991,-0.5413324190986991,-0.5413324190986991,-0.5413324190986991,-0.5413324190986991,-0.16647137846277132,1.350777036341486,3.5502823376552692,4.833854150583094,4.322604617028302,2.690635527560579,1.3517142818056729,0.532504919179954,0.07663997882572808,-0.17214076957259714,-0.31273887051912536,-0.39651068746583923,-0.45130314759346096,-0.48959205479733114,-0.513680707381657,-0.527792167199701,-0.5348292598323089,-0.538249188482217,-0.5399024490797786,-0.5406909536596302,-0.5410477496480519,-0.5412063060466157,-0.5412763706778384,-0.5413071846811269,-0.5413207264596174,-0.5413268050473065,-0.5413296920540123,-0.499618591483015,-0.3616690608366804,-0.13688663095471923,0.14516606856933392,0.3318959012839996,0.4699874629386803,0.47401187803835765,0.4728083246190608,0.4512132177762855,0.4160651881336774,0.33775500438817496,0.19145856744642026,0.06488333047332617,-0.023718694772674086,-0.0985481591188889,-0.1789125666457308,-0.2701130961720596,-0.34945012164318034,-0.4145674910051707,-0.46995610862096915,-0.5059729585631559,-0.5242505597820828,-0.5331154370016733,-0.5373797615533266,-0.5394288419999852,-0.5404144852840924,-0.5408892404997346,-0.5411179781871062,-0.5412275774721962,-0.4593247459441988,-0.2604166184933666,-0.07496560418301579,0.044382198503903666,0.04963977198059738,0.09357165932735599,0.09764278225397348,0.04712707490827013,-0.04614931842901903,-0.09355394699450045,-0.10687687543930759,-0.08286718342129681,-0.08545314272974978,-0.1227479655562937,-0.15365269538373144
 Aalten ,Aalten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Achtkarspelen ,Achtkarspelen,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,-0.4672137456174464,0.05032238920599588,1.7143491373836117,3.4031503114845134,4.360050710953214,3.798917551130876,2.945480879282678,2.016090280381041,1.2921120986943102,0.7377344674191455,0.3908930613533985,0.14196126335658538,-0.07046883317927934,-0.23386675775388646,-0.3463303156472103,-0.4061845953936112,-0.4368904834653143,-0.4525097496772585,-0.4603359270810836,-0.46403280403280966,-0.4657473194703946,-0.4665358419912778,-0.466896016219371,-0.46706023061316315,-0.4671368358503122,-0.46717481259916493,-0.4671939663835083,-0.4672036766163035,-0.46720861037236633,-0.46721106904240084,-0.46721226940013055,-0.46721284509383115,-0.4672131717016841,-0.46721337589437306,-0.4672135068253803,-0.33260008623840714,-0.07812197062046733,0.34605481307814034,0.6317013888363815,0.8336657991373132,0.8721851606282358,0.7883763627697279,0.6682949075909876,0.453436213204048,0.2513740782877554,-0.015588033970570153,-0.227900752083799,-0.3441204357052757,-0.4042187694753306,-0.434976795571606,-0.45071639757462945,-0.4587787635015395,-0.462913935856736,-0.46502138214906336,-0.4660840472076675,-0.46661719284168107,-0.46688824316667965,-0.46703741755612316,-0.4671222235472334,-0.46716660597429815,-0.46718947909156455,-0.4672012386705018,-0.4672072853061501,-0.46721040530520724,-0.4672120172713487,-0.4672128507844991,-0.46721328188836286,-0.4672135052300315,-0.4672136220476475,-0.467213665062961
 Alblasserdam ,Alblasserdam,-0.537964980323244,-0.537964980323244,-0.537964980323244,-0.537964980323244,-0.537964980323244,-0.537964980323244,-0.537964980323244,-0.537964980323244,-0.537964980323244,-0.537858650655727,0.4541502365632717,2.9040258976873674,4.447276264642438,4.284144985977328,2.2666459012118056,0.980557668710648,0.30304790758872513,-0.036774105444898265,-0.24852829813821398,-0.37926059223554065,-0.46265197656362017,-0.5041152257905993,-0.5229595029525563,-0.5313294429474229,-0.5350315312494962,-0.5366755347418564,-0.5374077003276015,-0.5377314579313329,-0.5378683650323307,-0.5379251694405413,-0.5379485609268657,-0.5379581489387444,-0.5379620740967903,-0.5379637059206209,-0.5379644152486104,-0.5379647285816727,-0.5379648679141696,-0.5379649300346132,-0.5379649575174027,-0.42743291752073204,-0.19107643365080948,0.4084331285625694,1.1595333643528793,1.6266104611416443,1.4897828173825678,0.9918817240569164,0.5442802837537337,0.2915124917356637,0.10899100320001989,-0.02947048072176376,-0.1692092009630898,-0.31750403794093823,-0.42027418685297774,-0.48406462523446,-0.514195139555754,-0.527580824748406,-0.5334349597248236,-0.5359873667540667,-0.5371007203375262,-0.5375870910482674,-0.5377995431634754,-0.5378924662394248,-0.5379331757931305,-0.5379509460338736,-0.537958682225202,-0.5379620711048746,-0.53796363510746,-0.5379643783999959,-0.5379647129756455,-0.5379648615489095,-0.30582440678115863,0.02422702799780848,0.40370838214530236,0.6192660698851622,0.7101296100845181,0.8513960530801613,0.8570046186406819,0.730035583438532,0.5829141481274495
 Albrandswaard ,Albrandswaard,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,-0.5331492438291195,0.5405423569438697,2.9713702225224172,4.520474700502238,4.2978962615818,2.354191532066804,1.0873609781752875,0.40195975158698083,0.02102414006878555,-0.20265380938916744,-0.33636920707065415,-0.4251669550704476,-0.4753053045798906,-0.5032869942388498,-0.5187781522314286,-0.5263496235925273,-0.529970604887788,-0.5316970923248009,-0.5325083147003201,-0.5328695657298624,-0.5330274856155216,-0.5330961084695574,-0.5331257860107117,-0.5331386073062472,-0.5331442549198894,-0.5331468775076383,-0.5331481163240221,-0.5331487048167661,-0.5331489855367387,-0.5331491178297186,-0.447213150228828,-0.21077008837982877,0.2636992671785582,0.9759768662328044,1.440756554121996,1.5169249631609611,1.1126829494438053,0.7091774715682473,0.3889810890023924,0.17960170731755065,0.020271926517049198,-0.12433171468773904,-0.257976676030336,-0.3649396704893825,-0.4352333070855265,-0.4788273777120438,-0.5068035851751096,-0.5207356151499867,-0.5273353993911658,-0.5304310999591927,-0.531877847790175,-0.53255380114526,-0.5328700793955532,-0.5330183456930079,-0.5330873440219386,-0.5331193598029063,-0.5331343543880559,-0.5331418368715771,-0.5331456933802897,-0.5331475525071612,-0.5331484383467053,-0.35146784012345067,-0.15402244945948138,0.1568761853604764,0.27886982119010517,0.5277807807931109,0.6963450811801214,0.8229571241994844,0.6867811780115789,0.5775518249320254
 Alkmaar ,Alkmaar,-0.5895158726986951,-0.5895158726986951,-0.5895158726986951,-0.5895158726986951,-0.5895158726986951,-0.5895158726986951,-0.5895158726986951,-0.5895158726986951,-0.48381996675940436,-0.11018937481315674,1.069940428679407,2.8457859296618073,4.13587952412791,4.214697267580431,3.261130695069196,2.2678164281187616,1.4868659495157877,0.8962313487450974,0.46396363265392193,0.15483375497938012,-0.06434588672916039,-0.2205914886443394,-0.33280190821981953,-0.4117183094211275,-0.4670024275656109,-0.507053779300047,-0.5360796986048254,-0.5563977858975038,-0.5691138873367888,-0.5769207600301616,-0.5816538743845777,-0.5844406165406303,-0.5860616909885771,-0.5870535872695212,-0.5877442659941711,-0.5764731921665094,-0.5491081904203352,-0.49345589666208917,-0.3993456091406495,-0.2611122014594259,-0.09686331176030546,0.05101076928880197,0.17850252029632346,0.30633391234288176,0.4343105029329156,0.5433948294114014,0.6130425000601181,0.6528130616272172,0.6669924470664009,0.5805899847479462,0.4015890927956536,0.16313334797137655,-0.04013369654334469,-0.19317467844876046,-0.309225119686966,-0.39393623850140763,-0.45346597523511756,-0.494772203025458,-0.5233795471802083,-0.5431768128266515,-0.5569168490645664,-0.5664867828837093,-0.5731777294108501,-0.56700966661481,-0.5450548401041002,-0.49637734647266146,-0.42423962092386497,-0.365438760089423,-0.32445846120737254,-0.3041716084716888,-0.28701742345105213,-0.2904857847707002,-0.3126207608299499,-0.32756005281127976,-0.3294979248688698,-0.3165865260574416,-0.31673296608324336,-0.3311735958175663,-0.34711226459338523
 Almelo ,Almelo,-0.6836130117537096,-0.6836130117537096,-0.6836130117537096,-0.6836130117537096,-0.6836130117537096,-0.6836130117537096,-0.6836130117537096,-0.6836130117537096,-0.6836130117537096,-0.6806289251773556,-0.288053158165741,1.1850372604823478,2.746466010787157,3.682688218966424,3.2666958463656406,2.5422394706449642,1.8778180349155917,1.3332973730174575,0.8856708761204402,0.5184312240720844,0.22797686190760208,-0.004182547432081902,-0.18603708850042128,-0.3261189935792098,-0.42962874804394485,-0.5090482245876694,-0.5687416530227482,-0.6114865381644297,-0.6386730931491214,-0.6555901824142303,-0.6659611840598094,-0.6721225689057899,-0.6757467701410463,-0.6779906455977404,-0.6795668480349382,-0.6806933255504737,-0.6815021208570661,-0.6820840042687083,-0.6824358502675019,-0.6826011650618311,-0.579756977053005,-0.29195491032202375,0.08255724706216315,0.500445644098783,0.8195939007954854,1.1018575720251829,1.3199390021792508,1.4944486107167558,1.6310342549488022,1.5584613422052709,1.2754412222582967,0.8685167914990733,0.4851020308151304,0.18642876009505074,-0.0595784640373369,-0.2450954156906441,-0.37783508382546593,-0.4721029358790559,-0.5376271600719462,-0.5827161786891832,-0.613748930081609,-0.6351391583509777,-0.6499097570656371,-0.6595213544561882,-0.6656726794855193,-0.669907716274804,-0.6734598835034599,-0.6764429548169956,-0.6785596074326674,-0.6800416730399437,-0.5936844563513411,-0.48327001543573994,-0.33208938002985966,-0.2090317594548356,-0.12046854954007417,-0.04156100571634748,-0.05057018334967033,-0.06977975747912733,-0.10921086778023939
 Almere ,Almere,-0.5361698027830843,-0.5361698027830843,-0.5361698027830843,-0.5361698027830843,-0.5361698027830843,-0.5361698027830843,-0.5361698027830843,-0.5361698027830843,-0.5124446074595194,-0.3387784740670945,0.34486203929388853,1.8844043978446,3.4288265157444955,4.2422833234998585,3.8531902127556568,2.9982499039849517,2.1123993994398456,1.3613718933683008,0.7870037630089449,0.3724172573716329,0.08308602996975507,-0.11472686072772079,-0.2490459905208373,-0.3396959221096551,-0.40117124381079655,-0.4448487073873674,-0.4762715117152987,-0.4983056080147518,-0.5121792725927901,-0.5208093928608785,-0.5261276738271631,-0.5292937580435412,-0.5311446758710381,-0.5322857534893558,-0.5331090509231226,-0.533715328755335,-0.5275616492148145,-0.5137590988502755,-0.4796342720911039,-0.42853311630673274,-0.35786507296551523,-0.2672612989729912,-0.15900669158652375,-0.02404893143958935,0.1284654484874905,0.2949551300209117,0.4570471986661769,0.5986506223292404,0.7061174862295749,0.6851778927669541,0.5341209680004104,0.28994729029213956,0.07083595751371852,-0.09546330780670281,-0.21807919385386973,-0.306933434332894,-0.36979837610559085,-0.41424299213102433,-0.445642021783841,-0.46812945774614206,-0.48438441971475327,-0.4962450636600462,-0.5049835672626283,-0.5105325301307275,-0.5079583056887146,-0.49463673182013335,-0.4755651187437835,-0.4604255637217912,-0.4505719653918465,-0.4397576178212388,-0.4286630552908124,-0.41326978563371763,-0.40032143591389696,-0.3852900844218756,-0.37701646623535384,-0.3648188786362608,-0.3575023679423806,-0.3586386459048327,-0.36355995702519356
