name,name_clean,cluster
 Heusden ,Heusden,2
 Hillegom ,Hillegom,1
 Hilvarenbeek ,Hilvarenbeek,2
 Hilversum ,Hilversum,2
 Hof0van0Twente ,Hof van Twente,2
 Hollands0Kroon ,Hollands Kroon,1
 Hoogeveen ,Hoogeveen,1
 Hoogezand0Sappemeer ,Hoogezand Sappemeer,2
 Hoorn ,Hoorn,1
 Horst0aan0de0Maas ,Horst aan de Maas,2
 Houten ,Houten,1
 Huizen ,Huizen,1
 Hulst ,Hulst,2
 IJsselstein ,IJsselstein,1
 Kaag0en0Braassem ,Kaag en Braassem,1
 Kampen ,Kampen,1
 Kapelle ,Kapelle,1
 Katwijk ,Katwijk,1
 Kerkrade ,Kerkrade,2
 Koggenland ,Koggenland,1
 Kollumerland0en0Nieuwkruisland ,Kollumerland en Nieuwkruisland,2
 Korendijk ,Korendijk,1
 Krimpen0aan0den0IJssel ,Krimpen aan den IJssel,1
 Laarbeek ,Laarbeek,2
 Landerd ,Landerd,2
 Landgraaf ,Landgraaf,2
 Landsmeer ,Landsmeer,1
 Langedijk ,Langedijk,1
 Lansingerland ,Lansingerland,1
 Laren0NH ,Laren NH,1
 Leek ,Leek,2
 Leerdam ,Leerdam,1
 Leeuwarden ,Leeuwarden,0
 Leeuwarderadeel ,Leeuwarderadeel,2
 Leiden ,Leiden,0
 Leiderdorp ,Leiderdorp,1
 Leidschendam0Voorburg ,Leidschendam Voorburg,1
 Lelystad ,Lelystad,1
 Lemsterland ,Lemsterland,2
 Leudal ,Leudal,2
 Leusden ,Leusden,1
 Lingewaal ,Lingewaal,2
 Lingewaard ,Lingewaard,2
 Lisse ,Lisse,2
 Littenseradiel ,Littenseradiel,1
 Lochem ,Lochem,2
 Loon0op0Zand ,Loon op Zand,2
 Lopik ,Lopik,0
 Loppersum ,Loppersum,2
 Losser ,Losser,2
 Maasdonk ,Maasdonk,2
 Maasdriel ,Maasdriel,0
 Maasgouw ,Maasgouw,2
 Maassluis ,Maassluis,1
 Maastricht ,Maastricht,2
 Marum ,Marum,2
 Medemblik ,Medemblik,1
 Meerssen ,Meerssen,2
 Menameradiel ,Menameradiel,2
 Menterwolde ,Menterwolde,2
 Meppel ,Meppel,1
 Middelburg0Z ,Middelburg Z,0
 Midden0Delfland ,Midden Delfland,1
 Midden0Drenthe ,Midden Drenthe,1
 Mill0en0Sint0Hubert ,Mill en Sint Hubert,2
 Moerdijk ,Moerdijk,0
 Molenwaard ,Molenwaard,1
 Montferland ,Montferland,2
 Montfoort ,Montfoort,2
 Mook0en0Middelaar ,Mook en Middelaar,0
 Naarden ,Naarden,1
 Neder0Betuwe ,Neder Betuwe,2
 Nederlek ,Nederlek,1
 Nederweert ,Nederweert,0
 Neerijnen ,Neerijnen,0
 Nieuwegein ,Nieuwegein,1
 Nieuwkoop ,Nieuwkoop,1
 Nijkerk ,Nijkerk,1
 Nijmegen ,Nijmegen,2
 Noord0Beveland ,Noord Beveland,1
 Noordenveld ,Noordenveld,2
 Noordoostpolder ,Noordoostpolder,2
 Noordwijk ,Noordwijk,1
 Noordwijkerhout ,Noordwijkerhout,1
 Nuenen0Gerwen0en0Nederwetten ,Nuenen Gerwen en Nederwetten,2
 Nunspeet ,Nunspeet,2
 Nuth ,Nuth,1
 Oegstgeest ,Oegstgeest,2
 Oirschot ,Oirschot,2
 Oisterwijk ,Oisterwijk,2
 Oldambt ,Oldambt,2
 Oldebroek ,Oldebroek,2
 Oldenzaal ,Oldenzaal,2
 Olst0Wijhe ,Olst Wijhe,2
 Ommen ,Ommen,2
 Onderbanken ,Onderbanken,2
 Oost0Gelre ,Oost Gelre,2
 Oosterhout ,Oosterhout,1
 Ooststellingwerf ,Ooststellingwerf,2
 Oostzaan ,Oostzaan,1
 Opmeer ,Opmeer,2
 Opsterland ,Opsterland,2
 Oss ,Oss,2
 Oud0Beijerland ,Oud Beijerland,1
 Oude0IJsselstreek ,Oude IJsselstreek,2
 Ouder0Amstel ,Ouder Amstel,1
 Ouderkerk ,Ouderkerk,1
 Oudewater ,Oudewater,1
 Overbetuwe ,Overbetuwe,0
 Papendrecht ,Papendrecht,1
 Peel0en0Maas ,Peel en Maas,2
 Pekela ,Pekela,2
 Pijnacker0Nootdorp ,Pijnacker Nootdorp,0
 Purmerend ,Purmerend,0
 Putten ,Putten,0
 Raalte ,Raalte,2
 Reimerswaal ,Reimerswaal,2
 Renkum ,Renkum,2
 Reusel0De0Mierden ,Reusel De Mierden,2
 RhedenENRozendaal ,RhedenENRozendaal,2
 Rhenen ,Rhenen,2
 Ridderkerk ,Ridderkerk,0
 Rijnwaarden ,Rijnwaarden,0
 Rijnwoude ,Rijnwoude,1
 Rijssen0Holten ,Rijssen Holten,2
 Rijswijk0ZH ,Rijswijk ZH,1
 Roerdalen ,Roerdalen,2
 Roermond ,Roermond,2
 Roosendaal ,Roosendaal,1
 Rotterdam ,Rotterdam,1
 Rucphen ,Rucphen,2
 Schagen ,Schagen,1
 ScherpenzeelENRenswoude ,ScherpenzeelENRenswoude,2
 Schiedam ,Schiedam,1
 Schijndel ,Schijndel,2
 Schinnen ,Schinnen,2
 Schoonhoven ,Schoonhoven,0
 Schouwen0Duiveland ,Schouwen Duiveland,1
 Simpelveld ,Simpelveld,2
 Sint0Anthonis ,Sint Anthonis,2
 Sint0Michielsgestel ,Sint Michielsgestel,2
 Sint0Oedenrode ,Sint Oedenrode,2
 Sittard0Geleen ,Sittard Geleen,0
 Skarsterlan ,Skarsterlan,2
 Sliedrecht ,Sliedrecht,1
 Slochteren ,Slochteren,2
 Sluis ,Sluis,2
 Smallingerland ,Smallingerland,2
 Soest ,Soest,1
 Someren ,Someren,2
 Son0en0Breugel ,Son en Breugel,1
 Spijkenisse ,Spijkenisse,0
 Stadskanaal ,Stadskanaal,2
 Staphorst ,Staphorst,2
 Stede0Broec ,Stede Broec,1
 Steenbergen ,Steenbergen,1
 Steenwijkerland ,Steenwijkerland,2
 Stein0L ,Stein L,2
 Stichtse0Vecht ,Stichtse Vecht,1
 Strijen ,Strijen,1
 Sudwest0Fryslan ,Sudwest Fryslan,0
